Date,Open,High,Low,Close,Volume,Adj Close
2014-07-18,40.99,41.50,40.52,41.45,1334700,41.2535
2014-07-17,40.66,41.15,40.10,40.97,1016100,40.7758
2014-07-16,41.00,41.16,40.82,41.05,862800,40.8554
2014-07-15,40.84,41.00,40.35,40.93,1628000,40.7359
2014-07-14,40.32,41.05,40.09,40.97,1480600,40.7758
2014-07-11,39.95,40.69,39.95,40.52,1835500,40.3279
2014-07-10,39.29,40.00,38.88,39.86,1581300,39.671
2014-07-09,39.79,39.99,39.19,39.42,863200,39.2331
2014-07-08,39.87,40.00,39.59,39.85,1544800,39.6611
2014-07-07,39.28,39.90,39.28,39.87,1571900,39.681
2014-07-04,39.34,39.52,39.24,39.48,567300,39.2928
2014-07-03,38.55,39.45,38.55,39.34,1743100,39.1535
2014-07-02,38.12,39.16,38.12,39.01,2482400,38.825
2014-07-01,38.10,38.61,38.00,38.29,2335300,38.1085
2014-06-30,38.08,38.50,37.81,38.07,2110900,37.8895
2014-06-27,38.15,38.65,38.00,38.08,1937900,37.8995
2014-06-26,38.61,38.86,38.00,38.08,2168000,37.8995
2014-06-25,39.21,39.75,38.67,38.72,1146500,38.5364
2014-06-24,39.66,39.85,39.00,39.50,909000,39.3127
2014-06-23,39.44,39.97,39.25,39.88,894300,39.6909
2014-06-20,39.00,39.90,39.00,39.70,6126300,39.5118
2014-06-19,39.13,39.59,39.10,39.33,1351400,39.1435
2014-06-18,39.40,39.50,39.08,39.36,1506500,39.1734
2014-06-17,38.70,39.40,38.70,39.25,922000,39.0639
2014-06-16,38.59,39.45,38.51,39.32,1363500,39.1336
2014-06-13,38.78,39.50,38.30,38.51,3164800,38.3274
2014-06-12,39.19,39.33,38.70,38.92,1316800,38.7355
2014-06-11,38.31,39.28,38.30,39.09,2552600,38.9047
2014-06-10,37.44,38.88,37.44,38.59,2587700,38.407
2014-06-09,37.28,37.85,37.28,37.77,1999600,37.5909
2014-06-06,37.27,37.62,37.10,37.47,1838100,37.2923
2014-06-05,37.40,37.50,37.11,37.24,1820200,37.0634
2014-06-04,37.52,37.85,37.12,37.41,1168200,37.2326
2014-06-03,37.47,38.04,37.30,37.88,1210400,37.7004
2014-06-02,37.03,37.74,37.03,37.68,1398300,37.5014
2014-05-30,37.45,37.55,37.06,37.20,3161600,37.0236
2014-05-29,37.56,38.10,37.30,37.69,2220400,37.5113
2014-05-28,37.66,37.90,37.51,37.73,1192600,37.5511
2014-05-27,37.80,37.94,37.30,37.83,1152200,37.6506
2014-05-26,37.18,37.82,37.18,37.69,531400,37.5113
2014-05-23,37.38,37.45,37.15,37.27,1293200,37.0933
2014-05-22,37.40,37.80,37.15,37.33,2554500,37.153
2014-05-21,36.92,37.77,36.91,37.60,1695700,37.4217
2014-05-20,36.88,37.15,36.80,37.04,1496100,36.8644
2014-05-19,36.55,36.90,36.37,36.88,1382100,36.7051
2014-05-16,36.00,36.72,36.00,36.44,1259500,36.2672
2014-05-15,36.71,36.71,36.00,36.06,1015700,35.889
2014-05-14,36.33,36.93,36.22,36.74,1822600,36.5658
2014-05-13,36.22,36.50,35.97,36.33,1733400,36.1578
2014-05-12,35.40,36.22,35.35,36.09,1602400,35.9189
2014-05-09,35.41,35.99,35.15,35.25,1962800,35.0829
2014-05-08,35.70,36.49,35.51,35.65,1492500,35.481
2014-05-07,35.98,36.33,35.85,35.96,1502200,35.7895
2014-05-06,35.54,36.25,35.21,36.14,1605900,35.9687
2014-05-05,35.35,35.68,34.67,35.54,1211400,35.3715
2014-05-02,36.14,36.69,35.10,35.18,2773000,35.0132
2014-05-01,36.14,36.14,36.14,36.14,000,35.9687
2014-04-30,37.47,37.47,35.87,36.14,6841800,35.9687
2014-04-29,37.25,37.90,37.25,37.89,1333100,37.7104
2014-04-28,37.05,37.58,36.88,37.08,1501400,36.9042
2014-04-25,38.14,38.14,36.60,37.19,1542400,37.0137
2014-04-24,37.32,38.20,37.29,38.10,2631600,37.9194
2014-04-23,36.50,37.35,35.93,37.32,3183400,37.1431
2014-04-22,35.68,36.60,35.60,36.37,2327700,36.1976
2014-04-21,35.98,36.19,35.61,35.72,818300,35.5506
2014-04-18,35.97,35.97,35.97,35.97,000,35.7995
2014-04-17,35.97,35.97,35.97,35.97,000,35.7995
2014-04-16,35.85,36.05,35.79,35.97,2545000,35.7995
2014-04-15,35.64,36.00,35.30,35.51,2008300,35.3416
2014-04-14,35.98,36.10,35.64,35.95,1464300,35.7796
2014-04-11,35.74,36.14,35.02,35.98,3062800,35.8094
2014-04-10,36.24,36.61,35.20,35.47,3476000,35.3018
2014-04-09,36.17,36.80,36.17,36.34,3686900,36.1677
2014-04-08,35.64,37.00,35.63,36.23,5633600,36.0582
2014-04-07,35.40,35.99,35.06,35.83,2048800,35.6601
2014-04-04,35.25,36.20,35.23,35.34,4276500,35.1724
2014-04-03,35.60,35.60,35.08,35.42,3365400,35.2521
2014-04-02,35.36,35.75,35.19,35.46,4162900,35.2919
2014-04-01,35.69,35.70,35.06,35.37,1232300,35.2023
2014-03-31,35.15,35.71,34.90,35.24,2275200,35.0729
2014-03-28,34.44,35.50,34.44,35.33,1133300,35.1625
2014-03-27,34.60,35.60,34.55,34.61,2796000,34.4459
2014-03-26,34.85,35.40,34.25,34.75,1548100,34.5852
2014-03-25,35.09,35.95,34.91,34.99,1472500,34.8241
2014-03-24,35.85,35.99,35.00,35.09,1504500,34.9236
2014-03-21,34.69,35.92,34.68,35.71,6420400,35.5407
2014-03-20,34.42,35.34,33.51,34.86,2571900,34.6947
2014-03-19,33.88,34.70,33.60,34.19,2245700,34.0279
2014-03-18,32.70,33.84,32.70,33.46,2145500,33.3014
2014-03-17,32.53,32.53,32.53,32.53,000,32.3758
2014-03-14,32.82,33.21,32.46,32.53,5167400,32.3758
2014-03-13,34.33,34.88,32.62,32.82,2491600,32.6644
2014-03-12,34.39,34.63,34.17,34.33,1926700,34.1672
2014-03-11,35.10,35.10,34.27,34.36,1907700,34.1971
2014-03-10,34.65,35.29,34.25,34.71,1415700,34.5454
2014-03-07,35.50,35.85,34.56,34.80,3218400,34.635
